"","Age1","Age2","Liberty"
"136",829.835714285714,886.55,56.7142857142857
"137",986.428571428571,1043,56.5714285714286
"138",415.778571428571,469.35,53.5714285714286
"139",414.078571428571,573.65,159.571428571429
"140",516.935714285714,573.65,56.7142857142857
"141",727.671428571429,730.1,2.42857142857143
"142",734.114285714286,834.4,100.285714285714
"143",784.992857142857,990.85,205.857142857143
"144",828.835714285714,886.55,57.7142857142857
"145",938.721428571428,1095.15,156.428571428571
"146",357.778571428571,469.35,111.571428571429
"147",985.285714285714,1043,57.7142857142857
"148",576.692857142857,886.55,309.857142857143
"149",835.278571428571,990.85,155.571428571429
"150",781.685714285714,834.4,52.7142857142857
"151",256.335714285714,365.05,108.714285714286
"152",570.085714285714,625.8,55.7142857142857
"153",829.842857142857,938.7,108.857142857143
"154",682.278571428571,990.85,308.571428571429
