                 Estimate   Std. Error
z1           1.947888e+01 4.940242e+00
z1           4.020045e+00 3.968058e+00
z1          -6.996328e+00 4.210370e+00
z1           2.757388e+01 5.121789e+00
z1          -6.500212e+00 4.190505e+00
z1          -9.499538e-01 4.393519e+00
z1          -4.413169e+00 3.418881e+00
z1           2.870764e+01 4.525234e+00
z1          -2.801892e+01 3.357229e+00
z1          -2.426766e+00 5.258752e+00
z1           1.636260e+01 4.292484e+00
z1          -3.295182e+00 3.992666e+00
z1          -7.259241e+00 3.434512e+00
z1          -1.906069e+00 4.651955e+00
z1          -1.567460e+01 3.433829e+00
z1           6.812920e+00 4.295415e+00
z1          -3.724217e+00 4.516180e+00
z1          -7.649336e+00 3.230094e+00
z1           5.646810e-01 4.033948e+00
z1          -3.390897e+00 3.861371e+00
z1          -7.399066e+00 4.387129e+00
z1          -2.874454e+00 3.686356e+00
z1          -1.706735e+01 3.427232e+00
z1          -2.409157e+01 3.872255e+00
z1          -1.460309e+01 4.055379e+00
z1          -6.949605e+00 4.088389e+00
z1          -2.614577e+00 4.122025e+00
z1           5.065086e-01 4.411326e+00
z1           2.662804e+00 4.274493e+00
z1           8.039493e+00 3.302565e+00
z1           6.033943e-01 4.805787e+00
z1          -1.610847e+00 3.634597e+00
z1           3.853803e+00 4.554677e+00
z1           2.640241e+00 3.840964e+00
z1          -9.168931e-01 3.716730e+00
z1           2.219998e+01 3.948382e+00
z1          -1.302946e+01 3.384185e+00
z1           9.126432e+00 4.254275e+00
z1           1.257251e+01 5.734432e+00
z1          -2.986494e+00 3.993616e+00
z1           1.465488e+00 4.346586e+00
z1          -1.022421e+01 4.078860e+00
z1           1.424872e+01 3.695783e+00
z1          -2.492862e+00 3.871170e+00
z1          -2.941242e+01 4.067026e+00
z1           9.695558e+00 4.063240e+00
z1           8.938323e+00 5.095901e+00
z1           4.794334e+00 4.313543e+00
z1           1.502977e+00 4.873175e+00
z1          -2.243069e+01 3.859588e+00
z1          -2.073333e+01 4.059002e+00
z1           1.236457e+01 3.683784e+00
z1          -2.673500e+00 4.145985e+00
z1          -2.988343e+00 4.185568e+00
z1           1.178816e+01 4.120179e+00
z1           4.537911e+00 3.743449e+00
z1          -2.686184e+00 3.461571e+00
z1           3.818087e+00 4.393465e+00
z1           2.574086e+00 5.337760e+00
z1           6.150917e+00 3.716923e+00
z1          -3.994260e+00 4.239968e+00
z1          -6.304958e+00 3.520125e+00
z1          -8.041145e+00 4.196470e+00
z1           2.273778e+00 4.218420e+00
z1          -7.308176e+00 4.253359e+00
z1          -1.704899e+01 3.399323e+00
z1          -1.481867e+01 4.568432e+00
z1          -3.176051e+00 4.001519e+00
z1           1.332090e+01 3.936355e+00
z1           9.162029e+00 5.564140e+00
z1          -1.673097e+01 4.267160e+00
z1          -8.621027e-01 4.213045e+00
z1           4.885662e+00 3.189621e+00
z1          -5.361882e+00 3.663242e+00
z1           5.432162e+00 3.679352e+00
z1           9.385994e+00 3.907230e+00
z1          -1.466073e+01 3.431291e+00
z1          -1.245801e+00 4.412074e+00
z1          -1.106642e+00 3.372177e+00
z1           2.855910e+00 3.915854e+00
z1           9.691789e+00 3.440203e+00
z1           8.998982e+00 3.663043e+00
z1           8.271276e+00 4.038435e+00
z1           8.201383e+00 3.761941e+00
z1          -5.515478e+00 4.123111e+00
z1           1.246619e+01 3.930726e+00
z1           3.792665e+00 4.352275e+00
z1           7.402219e+00 3.836812e+00
z1          -2.392215e+01 3.981342e+00
z1           2.312144e+01 3.814694e+00
z1           1.366886e+01 3.703796e+00
z1           3.417109e+00 4.060068e+00
z1          -1.000001e+01 3.345787e+00
z1          -5.439200e+00 3.043863e+00
z2           3.813790e-01 4.362839e+00
z2           2.503860e+00 5.212924e+00
z2           1.980527e+00 5.553438e+00
z2           1.074034e+00 4.807795e+00
z2           5.796724e+00 5.215206e+00
z2          -1.767513e+00 5.156136e+00
z2           2.050566e+00 5.111755e+00
z2          -2.217433e+00 3.436154e+00
z2          -1.099650e+00 4.579814e+00
z2          -2.016441e-01 3.285105e+00
z2          -1.402344e-06 7.116490e-03
z2           6.285267e-01 4.356066e+00
z2          -5.234630e-01 3.461053e+00
z2          -1.488421e+00 3.498023e+00
z2          -2.245514e-02 7.090173e-01
z2          -1.080452e+00 3.706518e+00
z2           1.358297e+00 3.509431e+00
z2           7.343645e-01 3.421335e+00
z2           1.497671e+00 3.392764e+00
z2          -6.315010e-07 5.911491e-03
z2           3.525531e-01 1.219909e+00
z2          -1.283671e-05 7.116492e-03
z2          -3.017472e-01 4.193898e+00
z2           7.398503e-01 4.227555e+00
z2          -7.167416e-07 5.911491e-03
z2          -5.560723e+00 3.411044e+00
z2          -1.919377e+00 3.667156e+00
z2           4.188099e+00 4.170756e+00
z2          -3.369156e-06 5.911490e-03
z2          -9.906114e-01 3.767660e+00
z2           9.752225e-01 4.562339e+00
z2          -9.407111e-01 3.888108e+00
z2          -1.116328e+00 3.568744e+00
z2           2.916493e+00 4.661288e+00
z2          -6.021837e-01 4.034493e+00
z2           1.862848e+00 4.399356e+00
z2          -3.996436e-01 4.949360e+00
z2           3.493595e-02 4.140669e+00
z2          -1.454010e+00 4.553740e+00
z2           4.966373e+00 3.910424e+00
z2          -2.017696e-01 4.616727e+00
z2           1.369778e+00 4.585005e+00
z2           4.963272e-01 4.728836e+00
z2           2.429656e+00 4.854722e+00
z2          -6.885213e-06 5.911487e-03
z2           9.261378e-01 1.029644e+00
z2          -1.430487e+00 4.020855e+00
z2          -7.451862e-01 4.039152e+00
z2          -1.936543e+00 4.060614e+00
z2          -1.992280e+00 4.167789e+00
z2           3.464911e-01 4.106938e+00
z2          -1.054961e+00 4.147072e+00
z2          -8.039610e-01 4.247802e+00
z2          -8.194409e-01 4.345266e+00
z2          -9.426534e-01 4.199670e+00
z2          -1.093331e+00 4.580194e+00
z2          -6.506327e-01 3.777290e+00
z2          -1.589638e+00 4.060841e+00
z2          -1.646008e+00 3.499797e+00
z2          -2.079116e+00 4.030224e+00
z2          -1.372240e+01 4.487443e+00
z2          -1.533427e+00 3.403413e+00
z2           1.264514e+01 4.328648e+00
z2           1.814765e+00 3.448049e+00
z2          -3.066199e-01 3.681056e+00
z2          -1.003644e+00 3.553640e+00
z2          -1.222265e+00 4.093135e+00
z2          -1.280280e+00 3.535395e+00
z2          -3.202501e+00 3.586078e+00
z2          -5.241036e+00 4.191621e+00
z2          -1.608784e+00 3.533889e+00
z2          -1.881414e+00 3.960109e+00
z2           3.499540e-01 3.882999e+00
z2          -1.508337e+00 3.753762e+00
z2          -1.187215e+00 3.988468e+00
z2          -1.309965e-06 5.911490e-03
z2          -2.535984e-06 5.911490e-03
z2           4.357329e-01 3.511049e+00
z2          -2.377197e-01 4.008440e+00
z2           1.064477e+00 4.253574e+00
z2          -2.609971e+00 3.618843e+00
z2           4.516024e-02 3.742104e+00
z2          -3.982607e+00 4.391380e+00
z2          -1.741428e-01 4.139512e+00
z2           7.000514e-01 4.172784e+00
z2           2.863430e-01 3.728327e+00
z2           1.220289e-01 4.184186e+00
z2           6.419126e-01 4.211735e+00
z2           4.068637e-01 4.254460e+00
z2          -3.884280e-02 4.131986e+00
z2          -4.955786e-02 3.774922e+00
z2          -9.438979e-01 3.961837e+00
z2          -1.196271e+00 3.694191e+00
z2           8.426690e-01 4.186464e+00
z2           6.313020e-01 3.565284e+00
z2          -2.483405e+00 5.044488e+00
z2           1.240170e+00 5.098248e+00
z2           2.966039e+00 4.790481e+00
z2           1.769734e-06 5.911490e-03
z2           1.501914e-01 4.854363e+00
z2           4.466985e-02 3.519839e+00
z2          -9.859339e-01 5.089612e+00
z2           1.252638e+00 4.710231e+00
z2           1.463799e+00 4.346663e+00
z2          -9.394417e-01 4.763811e+00
z2          -1.096449e-01 4.763021e+00
z2          -6.273139e-01 3.702898e+00
z2          -1.646320e-01 4.100533e+00
z2           1.308180e-01 4.094769e+00
z2           1.253205e-06 5.911491e-03
z2          -2.526329e+00 4.280938e+00
z2           1.794590e-01 4.147510e+00
z2          -1.656253e+00 4.237733e+00
z2           1.900268e+00 4.298988e+00
z2           2.125215e+00 4.267606e+00
z2          -7.923155e-01 3.587113e+00
z2          -1.720358e+00 4.293780e+00
z2          -6.438357e-01 3.428162e+00
z2          -6.680978e-02 3.947722e+00
z2          -1.888670e+00 4.365246e+00
z2          -4.764234e-02 3.607974e+00
z2          -5.053001e-01 4.384163e+00
z2           2.035360e+00 5.322152e+00
z2           3.329616e+00 5.203209e+00
z2          -4.785110e+00 4.804330e+00
z2           9.823778e-02 3.751059e+00
z2          -4.249414e+00 3.671248e+00
z2          -2.344356e-01 4.754827e+00
z2           1.993203e-02 3.664972e+00
z2          -3.421434e+00 4.920404e+00
z2           2.266489e+00 4.340569e+00
z2          -4.147455e+00 5.048290e+00
z2           2.156250e-01 4.855404e+00
z2           8.610647e-01 5.195224e+00
z2          -7.759797e-01 3.741139e+00
z2           4.181864e-01 4.375947e+00
z2           2.259105e-01 4.286035e+00
z2          -1.413404e+00 3.453524e+00
z2          -2.321012e+00 4.688172e+00
z2           7.713685e-01 3.535471e+00
z2          -1.866038e-02 5.893620e-01
z2          -4.402804e+00 4.867178e+00
z2          -2.621197e+00 5.779723e+00
z2          -5.848898e-02 4.370899e+00
z2          -2.319140e+00 5.588677e+00
z2          -8.207680e-01 4.487668e+00
z2          -5.935535e-01 3.825836e+00
z2          -1.172230e+00 5.339141e+00
z2          -3.620101e+00 5.708595e+00
z2           2.376940e+00 4.292312e+00
z2          -1.293738e+00 4.087731e+00
z2           1.799644e+00 4.159733e+00
z2          -4.023156e+00 5.106707e+00
z2           3.127389e+00 5.621091e+00
z2           9.405310e-02 3.649024e+00
z2           1.746953e+00 4.935333e+00
z2           4.738552e-01 3.995365e+00
z2          -2.611830e-01 4.140815e+00
z2          -1.370404e-01 4.101426e+00
z2           6.264896e-01 5.209768e+00
z2          -3.775255e+00 4.822874e+00
z2           1.655840e+01 4.676261e+00
