                 Estimate   Std. Error
Length1_hat  8.642065e+01 2.236585e+00
Length1_hat  9.244915e+01 1.453790e+00
Length1_hat  1.221535e+02 1.412008e+00
Length1_hat  1.064977e+02 1.418066e+00
Length1_hat  9.584153e+01 1.601573e+00
Length1_hat  1.318395e+02 1.626628e+00
Length1_hat  1.049901e+02 1.601229e+00
Length1_hat  9.821220e+01 1.463734e+00
Length1_hat  1.049901e+02 1.601229e+00
Length1_hat  1.122620e+02 1.687409e+00
Length1_hat  9.557944e+01 1.629068e+00
Length1_hat  1.219080e+02 1.427112e+00
Length1_hat  1.282458e+02 1.568299e+00
Length1_hat  1.346125e+02 1.785083e+00
Length1_hat  9.450789e+01 1.368903e+00
Length1_hat  8.892326e+01 1.692897e+00
Length1_hat  1.060763e+02 1.490226e+00
Length1_hat  1.185806e+02 1.501781e+00
Length1_hat  1.220943e+02 1.307445e+00
Length1_hat  1.143562e+02 1.588157e+00
Length1_hat  1.287421e+02 1.680332e+00
Length1_hat  1.270299e+02 1.705876e+00
Length1_hat  9.209285e+01 1.632241e+00
Length1_hat  1.364642e+02 1.867867e+00
Length1_hat  1.025484e+02 2.269914e+00
Length1_hat  1.218685e+02 1.461736e+00
Length1_hat  1.241237e+02 1.311036e+00
Length1_hat  8.602579e+01 1.917033e+00
Length1_hat  1.087472e+02 1.327426e+00
Length1_hat  1.282458e+02 1.568299e+00
Length1_hat  1.070375e+02 2.163679e+00
Length1_hat  1.185475e+02 1.497165e+00
Length1_hat  1.125013e+02 1.415534e+00
Length1_hat  1.090491e+02 1.303094e+00
Length1_hat  1.245659e+02 1.293319e+00
Length1_hat  1.372808e+02 1.845096e+00
Length1_hat  1.329646e+02 1.704236e+00
Length1_hat  9.297442e+01 1.403844e+00
Length1_hat  9.333136e+01 1.462641e+00
Length1_hat  9.706274e+01 1.445799e+00
Length1_hat  1.262458e+02 1.688323e+00
Length1_hat  9.230325e+01 2.228272e+00
Length1_hat  9.887016e+01 1.650552e+00
Length1_hat  9.637617e+01 1.553230e+00
Length1_hat  1.154211e+02 1.445253e+00
Length1_hat  9.559831e+01 1.598349e+00
Length1_hat  1.126438e+02 1.402757e+00
Length1_hat  9.898135e+01 1.452064e+00
Length1_hat  9.131897e+01 1.470077e+00
Length1_hat  1.221032e+02 1.398894e+00
Length1_hat  8.552645e+01 1.399627e+00
Length1_hat  7.593976e+01 1.817131e+00
Length1_hat  1.007902e+02 1.657742e+00
Length1_hat  1.154042e+02 1.449828e+00
Length1_hat  9.702243e+01 1.450537e+00
Length1_hat  1.124728e+02 1.428506e+00
Length1_hat  1.026554e+02 1.411187e+00
Length1_hat  1.316278e+02 1.627906e+00
Length1_hat  9.694724e+01 2.135398e+00
Length1_hat  9.417300e+01 1.405795e+00
Length1_hat  8.741045e+01 2.028845e+00
Length1_hat  9.724203e+01 1.467485e+00
Length1_hat  9.031322e+01 1.613252e+00
Length1_hat  1.006360e+02 1.246580e+00
Length1_hat  1.215974e+02 1.465658e+00
Length1_hat  8.684406e+01 1.465960e+00
Length1_hat  9.681530e+01 1.434082e+00
Length1_hat  7.049450e+01 2.109240e+00
Length1_hat  1.117210e+02 1.242642e+00
Length1_hat  1.023296e+02 1.463417e+00
Length1_hat  1.091946e+02 1.215497e+00
Length1_hat  1.159325e+02 1.404783e+00
Length1_hat  1.213770e+02 1.499812e+00
Length1_hat  1.089716e+02 1.369663e+00
Length1_hat  1.010995e+02 1.228218e+00
Length1_hat  8.480008e+01 1.689089e+00
Length1_hat  8.828223e+01 2.080873e+00
Length1_hat  8.630091e+01 1.422649e+00
Length1_hat  1.089925e+02 1.311495e+00
Length1_hat  9.854979e+01 1.424619e+00
Length1_hat  1.188642e+02 1.552962e+00
Length1_hat  9.718820e+01 1.461939e+00
Length1_hat  8.567561e+01 1.410942e+00
Length1_hat  1.064739e+02 1.856514e+00
Length1_hat  1.221284e+02 1.401651e+00
Length1_hat  1.003613e+02 1.372952e+00
